A1,08201607101100,2329.00,24.49,59.49,26.55,59.79,1007.63,5.01,NEXTSENSE-12:0:0
A1,08201607101200,2082.00,24.49,59.49,26.55,59.79,1007.44,5.00,NEXTSENSE-13:0:0
A1,08201607101300,2549.00,24.55,59.49,26.55,59.79,1007.04,5.01,NEXTSENSE-14:0:0
A1,08201607101400,4892.00,25.21,59.58,26.55,59.79,1006.86,4.99,NEXTSENSE-15:0:0
A1,08201607101500,7509.00,26.03,51.78,25.11,51.59,1006.63,5.00,NEXTSENSE-16:0:0
A1,08201607101600,18702.00,31.67,52.46,26.39,51.76,1006.12,5.00,NEXTSENSE-17:0:0
A1,08201607101700,43855.00,31.67,37.43,31.67,41.79,1005.66,5.01,NEXTSENSE-18:0:0
A1,08201607101800,14416.00,31.67,36.80,31.67,38.69,1005.63,5.00,NEXTSENSE-19:0:0
A1,08201607101900,5334.00,31.67,37.71,31.67,38.48,1005.52,5.00,NEXTSENSE-20:0:0
A1,08201607102000,1750.00,31.67,41.79,31.67,43.97,1005.70,5.00,NEXTSENSE-21:0:0
A1,08201607102100,377.00,31.67,52.46,31.67,52.46,1005.76,5.00,NEXTSENSE-22:0:0
A1,08201607102200,2.00,26.03,51.70,26.55,51.78,1005.95,5.00,NEXTSENSE-23:0:0
A1,08201607102300,1.00,25.11,51.78,26.55,51.78,1005.89,5.00,NEXTSENSE-0:0:0
A2,08201607102310,1.00,25.11,51.78,26.55,51.78,1005.89,5.00,NEXTFEED-2016-7-11@23:10:0
A1,08201607110000,3.00,24.49,51.51,26.55,51.78,1005.89,5.00,NEXTSENSE-1:0:0
A1,08201607110100,2.00,26.53,51.77,26.55,51.78,1005.70,5.00,NEXTSENSE-2:0:0
A1,08201607110200,2.00,26.39,51.78,26.55,51.78,1005.21,5.00,NEXTSENSE-3:0:0
A1,08201607110300,1.00,26.05,51.73,26.55,51.78,1004.84,5.00,NEXTSENSE-4:0:0
A1,08201607110400,83.00,25.57,51.69,26.55,51.78,1004.51,5.00,NEXTSENSE-5:0:0
A1,08201607110500,118.00,25.91,51.69,26.55,51.78,1004.55,5.02,NEXTSENSE-6:0:0
A1,08201607110600,666.00,25.59,51.69,26.55,51.78,1004.41,5.02,NEXTSENSE-7:0:0
A1,08201607110700,1605.00,25.19,51.61,26.07,51.78,1004.71,5.00,NEXTSENSE-8:0:0
A1,08201607110800,2522.00,25.25,51.61,26.07,51.78,1004.99,4.99,NEXTSENSE-9:0:0
A1,08201607110900,2258.00,25.91,51.69,24.99,51.78,1005.42,5.00,NEXTSENSE-10:0:0
A1,08201607111000,2676.00,25.99,51.71,26.07,51.71,1005.76,4.99,NEXTSENSE-11:0:0
A1,08201607111100,6201.00,26.41,51.77,25.91,51.71,1006.22,4.99,NEXTSENSE-12:0:0
A1,08201607111200,6726.00,24.95,51.56,26.41,51.77,1006.58,4.99,NEXTSENSE-13:0:0
A1,08201607111300,6008.00,26.23,51.73,24.95,51.57,1006.69,5.02,NEXTSENSE-14:0:0
A1,08201607111400,14618.00,26.43,51.77,26.55,51.78,1006.77,5.03,NEXTSENSE-15:0:0
A1,08201607111500,5342.00,26.53,59.79,26.55,59.79,1007.18,5.03,NEXTSENSE-16:0:0
A1,08201607111600,65535.00,25.39,68.72,24.47,93.83,1008.57,5.02,NEXTSENSE-17:0:0
